nicho,marca,dominio,cor_hex,logo_url
Varejo,#MercadoLivreBBB26,mercadolivre.com.br,#ffe600,https://cdn.brandfetch.io/id0m1a9oJ8/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Shopee Brasil,shopee.com.br,#ee4d2d,https://cdn.brandfetch.io/idubNy-9U5/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Lu do Magalu,magazineluiza.com.br,#164ab4,https://cdn.brandfetch.io/idSdnzDAdG/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Casas Bahia,casasbahia.com.br,#0033C6,https://cdn.brandfetch.io/id2j9M6Qmh/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Americanas,americanas.com.br,#f80032,https://cdn.brandfetch.io/ideQRJIMW8/w/303/h/166/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,,submarino.com.br,#ed0030,
Varejo,AliExpress,aliexpress.com,#FD384F,https://cdn.brandfetch.io/idonPjBUnw/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,SHEIN,shein.com,#d50002,https://cdn.brandfetch.io/id0A26Xdv8/w/820/h/170/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Carrefour,carrefour.com.br,#1852cc,https://cdn.brandfetch.io/idX5uqiLZV/w/4096/h/798/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Extra,extra.com.br,#d6232e,https://cdn.brandfetch.io/idAakz5QGa/w/820/h/530/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Netshoes,netshoes.com.br,#8200ff,https://cdn.brandfetch.io/idDvJYmVFB/w/400/h/400/theme/dark/icon.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Centauro,centauro.com.br,#060000,
Varejo,Dafiti,dafiti.com.br,#87cfdb,https://cdn.brandfetch.io/id2r6_nRBG/w/1000/h/1000/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Zattini,zattini.com.br,#000000,https://cdn.brandfetch.io/idLi56T0pw/w/400/h/400/theme/dark/icon.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Leroy Merlin,leroymerlin.com.br,#41a017,https://cdn.brandfetch.io/idSLRGKvqK/w/820/h/545/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Fast Shop,fastshop.com.br,#BC8F2E,https://cdn.brandfetch.io/idSo05iv0c/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Havan,havan.com.br,#0b3bdd,https://cdn.brandfetch.io/idd8l5CMZJ/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Grupo Pernambucanas,pernambucanas.com.br,#f7dc16,https://cdn.brandfetch.io/idDIB_F7S5/w/820/h/246/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Riachuelo,riachuelo.com.br,#D7D0BB,https://cdn.brandfetch.io/id6i_4YrqK/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,C&A Brasil,cea.com.br,#4600fa,https://cdn.brandfetch.io/idy7R4VcgQ/w/96/h/96/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Renner,renner.com.br,#d20f1c,https://cdn.brandfetch.io/idXGFf-li8/w/300/h/300/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Lojas Marisa,marisa.com.br,#ec008c,https://cdn.brandfetch.io/idzKZWed3J/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Varejo,Arezzo&CO,arezzo.com.br,#c27e3f,https://cdn.brandfetch.io/idd1cXXk3a/w/820/h/158/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,Accor,all.accor.com,#B88D5B,https://cdn.brandfetch.io/ido2CWqEYs/w/1980/h/521/theme/light/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,Hilton,hilton.com,#0E468B,https://cdn.brandfetch.io/idkSlTwkvs/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,Marriott Bonvoy,marriott.com,#FF9962,https://cdn.brandfetch.io/id0DQ-cAhI/w/360/h/360/theme/dark/icon.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,InterContinental Hotels Group,ihg.com,#1F4456,https://cdn.brandfetch.io/idtjTPYnTs/theme/dark/symbol.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,Hyatt,hyatt.com,#FFB612,https://cdn.brandfetch.io/idW8vrk2w-/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,Days Inn by Wyndham,wyndhamhotels.com,#ffff00,https://cdn.brandfetch.io/idvuHPq96t/theme/dark/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,,radissonhotels.com,#000000,https://cdn.brandfetch.io/idOZisVBpI/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Programas de Hotéis,Choice Hotels,choicehotels.com,#E26811,https://cdn.brandfetch.io/idU0VHwqnB/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,Booking.com,booking.com,#0071C2,https://cdn.brandfetch.io/id9mEmLNcV/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,,hurb.com,#223e7d,https://cdn.brandfetch.io/idmGjq_7lI/w/800/h/600/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,Decolar ft. Shakira 🇧🇷,decolar.com,#550fed,https://cdn.brandfetch.io/ids1XUQPdz/w/820/h/177/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,CVC Viagens,cvc.com.br,#53606b,https://cdn.brandfetch.io/id1AeUCKN-/w/1536/h/766/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,123Milhas,123milhas.com,#5ea4de,https://cdn.brandfetch.io/id_Pb76S-l/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,Maxmilhas,maxmilhas.com.br,#050c16,https://cdn.brandfetch.io/idVpvUW8tj/w/400/h/400/theme/dark/icon.jpeg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,Trivago,trivago.com.br,#007CC2,https://cdn.brandfetch.io/idJz0pR4Gq/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,Expedia,expedia.com.br,#fddb32,https://cdn.brandfetch.io/idrxc3qldQ/w/820/h/182/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Viagens,Airbnb Brasil,airbnb.com.br,#ff385c,https://cdn.brandfetch.io/idqFsjQshX/w/76/h/76/theme/dark/logo.png?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Tecnologia,Apple,apple.com,#0066CC,https://cdn.brandfetch.io/idnrCPuv87/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
Tecnologia,Google,google.com,#4285F4,https://cdn.brandfetch.io/id6O2oGzv-/theme/light/logo.svg?c=1bxbdkk0grqdtecj6k9bcv99sx3SiCMmYS5
